,System size,Number of targets,Error (10 steps),Error (20 steps)
0,6.0,1.0,0.40296395308044414,0.45591114975347613
1,6.0,1.0,0.2474033494278004,0.2519272521326689
2,6.0,1.0,0.21990512393065056,0.0001260014526425672
3,6.0,1.0,0.07687694189207825,0.033750053530368564
4,6.0,1.0,0.2246706920698773,1.648346275171973e-05
5,7.0,1.0,0.001820594445574584,0.0010157680465110411
6,7.0,1.0,0.21119543596015586,0.19916206156952448
7,7.0,1.0,0.057614330250612314,0.018443298796119563
8,7.0,1.0,,
9,7.0,1.0,,
10,8.0,1.0,0.9374949473157138,0.9825871135058071
11,8.0,1.0,0.16517167707474922,0.16414568015217204
12,8.0,1.0,0.645277963904818,0.6515973772707373
13,8.0,1.0,0.2608025395019053,0.12874300757463933
14,8.0,1.0,0.00166674359302619,0.0016497113984592958
15,9.0,1.0,0.023914106936963,0.019517564071377207
16,9.0,1.0,0.04542649576538765,0.04538312753911997
17,9.0,1.0,0.12397162450296989,0.12231023323539364
18,9.0,1.0,0.04137339105496219,0.04016386228977259
19,9.0,1.0,0.620801027078192,0.6287026258075376
20,10.0,1.0,0.7832597042807287,0.6682884375549881
21,10.0,1.0,,
22,10.0,1.0,0.03280981563010487,0.018590019484774692
23,10.0,1.0,0.32574264054863644,0.3236771717681414
24,10.0,1.0,0.46341668235062694,0.3848434754782869
25,11.0,1.0,0.08107703422420352,0.07524780893571979
26,11.0,1.0,0.002584337377462965,0.0025650775144595143
27,11.0,1.0,0.04685993701444207,0.04297577774758431
28,11.0,1.0,0.16227522610285797,0.16218090798465745
29,11.0,1.0,0.3910317732073613,0.34645598910535413
30,12.0,1.0,0.1475308833711139,0.13261532382468105
31,12.0,1.0,0.03468906284836948,0.03416573644190067
32,12.0,1.0,0.5174175460460367,0.4861322162403882
33,12.0,1.0,0.011445548169859486,0.011246703803954277
34,12.0,1.0,0.5059537270498593,0.4219596651962426
35,6.0,2.0,0.5061767790419485,0.6721254291098011
36,6.0,2.0,0.21060710557310827,0.19437728262151077
37,6.0,2.0,0.10716681517385906,0.017116109765598086
38,6.0,2.0,,
39,6.0,2.0,,
40,7.0,2.0,,
41,7.0,2.0,0.2107971093620499,0.2200571772482069
42,7.0,2.0,0.3275349780928736,0.23907083465700663
43,7.0,2.0,,
44,7.0,2.0,,
45,8.0,2.0,0.012081594231883945,0.011560727624319447
